level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	3	1	37	4	762	1957	115	29	93.297073	SCONTO
5	1	3	1	37	5	901	1956	114	30	93.203865	FIDATY
5	1	3	1	37	6	1039	1956	54	28	96.600861	30%
5	1	3	1	37	7	1428	1956	114	31	3.417206	0,74-s
4	1	3	1	38	0	37	1973	1468	102	-1	
5	1	3	1	38	1	37	2003	147	47	54.055408	yer
5	1	3	1	38	2	628	1973	48	102	0.000000	à
5	1	3	1	38	3	719	2009	18	30	93.105843	8
5	1	3	1	38	4	759	2008	137	31	69.336319	LOACKER
5	1	3	1	38	5	919	2006	194	31	81.866531	CREAMKAKAO
5	1	3	1	38	6	1314	2010	35	24	81.915436	*c
5	1	3	1	38	7	1431	2006	74	31	65.563736	4,64
4	1	3	1	39	0	141	2048	1407	43	-1	
5	1	3	1	39	1	141	2048	68	23	26.407005	SS
5	1	3	1	39	2	635	2065	16	7	0.000000	S
5	1	3	1	39	3	757	2060	116	31	93.203804	SCONTO
5	1	3	1	39	4	897	2059	116	31	92.526779	FIDATY
5	1	3	1	39	5	1037	2058	56	31	96.925667	40%
5	1	3	1	39	6	1435	2057	113	32	90.819458	1,86-S
4	1	3	1	40	0	599	2104	912	53	-1	
5	1	3	1	40	1	599	2104	69	53	16.813087	_<
5	1	3	1	40	2	714	2112	258	32	84.216187	SCOTT/PICANHA
5	1	3	1	40	3	1316	2114	36	26	87.763336	*c
5	1	3	1	40	4	1435	2109	76	33	62.874161	8,25
4	1	3	1	41	0	624	2158	890	40	-1	
5	1	3	1	41	1	624	2158	42	24	60.095970	>
5	1	3	1	41	2	712	2166	117	32	60.095970	SEPPIE
5	1	3	1	41	3	853	2165	118	32	93.261139	PULITE
5	1	3	1	41	4	996	2164	90	31	86.858170	SURG.
5	1	3	1	41	5	1318	2167	35	26	90.913132	*c
5	1	3	1	41	6	1437	2163	77	33	83.632599	8,49
4	1	3	1	42	0	616	2178	896	114	-1	
5	1	3	1	42	1	616	2178	47	114	70.833763	3
5	1	3	1	42	2	709	2217	383	34	89.751999	SCOTT.NAT/FETT.SOTT
5	1	3	1	42	3	1320	2221	35	27	81.983788	*c
5	1	3	1	42	4	1440	2216	72	33	63.727646	4,91
4	1	3	1	43	0	705	2270	817	36	-1	
5	1	3	1	43	1	705	2273	263	33	91.884514	SCOTT/PICANHA
5	1	3	1	43	2	1321	2276	37	26	85.902664	*c
5	1	3	1	43	3	1443	2270	79	34	79.760498	7,98
4	1	3	1	44	0	701	2324	824	36	-1	
5	1	3	1	44	1	701	2329	79	31	96.730736	ESSE
5	1	3	1	44	2	804	2328	140	32	96.422531	CUBETTI
5	1	3	1	44	3	971	2327	100	32	96.474319	BACON
5	1	3	1	44	4	1323	2330	38	26	88.026779	*c
5	1	3	1	44	5	1447	2324	78	34	78.727898	2,29
4	1	3	1	45	0	613	2379	916	47	-1	
5	1	3	1	45	1	613	2383	156	43	55.504883	VIT.
5	1	3	1	45	2	801	2383	206	32	96.151581	SPEZZATINO
5	1	3	1	45	3	1032	2382	38	32	96.151581	SC
5	1	3	1	45	4	1326	2385	37	26	90.368385	*c
5	1	3	1	45	5	1450	2379	79	34	72.639679	6,69
4	1	3	1	46	0	98	2433	1435	60	-1	
5	1	3	1	46	1	98	2457	33	14	38.948257	SÌ
5	1	3	1	46	2	333	2468	6	3	6.178802	-
5	1	3	1	46	3	610	2464	31	29	80.499954	S
5	1	3	1	46	4	693	2438	71	32	91.808769	VIT.
5	1	3	1	46	5	798	2438	207	31	96.981865	SPEZZATINO
5	1	3	1	46	6	1032	2438	37	31	96.286545	SC
5	1	3	1	46	7	1328	2440	37	27	88.216995	*c
5	1	3	1	46	8	1453	2433	80	35	75.444176	7,38
4	1	3	1	47	0	233	2489	1344	46	-1	
5	1	3	1	47	1	233	2502	55	5	75.661194	=
5	1	3	1	47	2	619	2492	9	43	0.000000	Ò
5	1	3	1	47	3	691	2492	81	30	83.681236	SLIP
5	1	3	1	47	4	798	2491	101	31	93.279884	BASIC
5	1	3	1	47	5	925	2491	122	30	92.285233	CO.TAI
5	1	3	1	47	6	1328	2490	39	31	71.634544	*d
5	1	3	1	47	7	1436	2489	141	33	67.133400	16,90-A
4	1	3	1	48	0	592	2494	935	118	-1	
5	1	3	1	48	1	592	2494	49	118	64.284439	3
5	1	3	1	48	2	691	2543	273	34	92.375343	SCOTT/PICANHA
5	1	3	1	48	3	1328	2547	37	25	87.997116	*c
5	1	3	1	48	4	1454	2540	73	32	68.556473	8,21
4	1	3	1	49	0	102	2590	1430	63	-1	
5	1	3	1	49	1	102	2605	20	25	86.854568	Ò
5	1	3	1	49	2	611	2608	29	45	73.303497	È
5	1	3	1	49	3	691	2595	273	38	78.397324	MAC.BOV/SUINO
5	1	3	1	49	4	989	2594	60	30	93.094574	ATP
5	1	3	1	49	5	1074	2593	59	30	96.511375	500
5	1	3	1	49	6	1327	2598	38	25	88.254890	*c
5	1	3	1	49	7	1453	2590	79	34	71.551605	6,19
4	1	3	1	50	0	594	2641	937	104	-1	
5	1	3	1	50	1	594	2652	46	93	44.330730	i
5	1	3	1	50	2	690	2653	103	37	96.248894	SMART
5	1	3	1	50	3	822	2652	36	33	95.946609	10
5	1	3	1	50	4	883	2649	81	32	96.817879	UOVA
5	1	3	1	50	5	990	2647	101	31	95.882294	TERRA
5	1	3	1	50	6	1327	2649	37	25	86.950302	*c
5	1	3	1	50	7	1452	2641	79	32	66.350288	2,49
4	1	3	1	51	0	591	2742	48	53	-1	
5	1	3	1	51	1	591	2742	48	53	61.115326	I
4	1	3	1	52	0	468	2789	1103	135	-1	
5	1	3	1	52	1	468	2862	27	16	10.206154	=
5	1	3	1	52	2	592	2789	45	123	39.990063	3
5	1	3	1	52	3	689	2831	127	76	30.330750	TURE
5	1	3	1	52	4	840	2825	83	71	31.410202	SR
5	1	3	1	52	5	1410	2798	161	126	26.343819	Ind
4	1	3	1	53	0	602	2910	879	59	-1	
5	1	3	1	53	1	602	2924	34	45	84.023613	S
5	1	3	1	53	2	686	2932	35	33	96.252045	di
5	1	3	1	53	3	751	2927	57	32	95.981789	cui
5	1	3	1	53	4	840	2918	59	36	76.716286	IVA
5	1	3	1	53	5	1475	2910	6	14	17.874924	°
4	1	3	1	54	0	586	2964	50	45	-1	
5	1	3	1	54	1	586	2964	50	45	52.306648	Sy
4	1	3	1	55	0	1415	3006	119	36	-1	
5	1	3	1	55	1	1415	3006	119	36	96.367432	101,29
2	1	4	0	0	0	612	3019	629	66	-1	
3	1	4	1	0	0	612	3019	629	66	-1	
4	1	4	1	1	0	612	3019	629	66	-1	
5	1	4	1	1	1	612	3030	22	36	66.548706	$
5	1	4	1	1	2	687	3038	192	47	96.576294	PAGAMENTO
5	1	4	1	1	3	904	3031	104	36	88.788528	CARTA
5	1	4	1	1	4	1033	3022	123	39	92.678627	FIDATY
5	1	4	1	1	5	1182	3019	59	33	95.586136	ORO
2	1	5	0	0	0	1585	26	119	3080	-1	
3	1	5	1	0	0	1585	26	119	3080	-1	
4	1	5	1	1	0	1585	26	119	3080	-1	
5	1	5	1	1	1	1585	26	119	3080	95.000000	 
