level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	7	1	0	0	121	2576	770	82	-1	
4	1	7	1	1	0	121	2576	770	82	-1	
5	1	7	1	1	1	121	2576	107	58	87.217560	TOTA.E
5	1	7	1	1	2	248	2580	73	58	87.778625	EURO
5	1	7	1	1	3	749	2598	105	60	89.385452	127,05
5	1	7	1	1	4	876	2614	15	38	53.285366	+
2	1	8	0	0	0	106	2756	742	102	-1	
3	1	8	1	0	0	106	2756	742	102	-1	
4	1	8	1	1	0	110	2756	738	51	-1	
5	1	8	1	1	1	110	2756	164	32	59.452255	PAGAMENTO
5	1	8	1	1	2	296	2761	89	30	93.264389	CARTA
5	1	8	1	1	3	407	2765	108	31	92.459747	FIDATY
5	1	8	1	1	4	537	2770	52	28	94.090836	ORO
5	1	8	1	1	5	744	2777	104	30	95.663033	103,05
4	1	8	1	2	0	106	2806	741	52	-1	
5	1	8	1	2	1	106	2806	165	33	21.950859	PAGAMENTO
5	1	8	1	2	2	293	2812	89	30	93.302673	BUONO
5	1	8	1	2	3	404	2815	90	31	92.149261	FASTO
5	1	8	1	2	4	516	2819	145	33	92.149261	ELETTRON
5	1	8	1	2	5	758	2827	89	31	96.692818	24,00
2	1	9	0	0	0	36	2926	921	71	-1	
3	1	9	1	0	0	36	2926	921	71	-1	
4	1	9	1	1	0	36	2926	921	71	-1	
5	1	9	1	1	1	36	2926	555	67	0.000000	Micrisiinicz
5	1	9	1	1	2	518	2920	54	81	14.030800	i
5	1	9	1	1	3	954	2950	3	22	46.166412	i
2	1	10	0	0	0	756	2984	202	20	-1	
3	1	10	1	0	0	756	2984	202	20	-1	
4	1	10	1	1	0	756	2984	202	20	-1	
5	1	10	1	1	1	756	2980	55	34	32.207047	combi
5	1	10	1	1	2	822	2994	52	7	20.067352	Rio
5	1	10	1	1	3	910	2984	48	20	35.850471	pal
2	1	11	0	0	0	22	2940	982	70	-1	
3	1	11	1	0	0	22	2940	982	70	-1	
4	1	11	1	1	0	22	2940	982	70	-1	
5	1	11	1	1	1	22	2944	14	50	95.000000	 
5	1	11	1	1	2	968	2940	36	70	95.000000	 
